Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
TRF.NS,0.79,1.21,0.79,0.31,0.81,0.87,0.62,0.72,119.65,19.9,0.2662,0.2017,0.13,False,True,True,True,False,False
BDL.NS,0.72,1.27,0.72,0.64,0.83,0.84,0.8,0.83,119.66,22.04,0.3245,0.2192,0.15,False,True,True,True,False,False
SAFARI.NS,0.96,0.34,0.96,0.23,0.43,0.46,0.54,0.56,119.8,15.38,0.0779,0.2275,0.05,False,True,True,True,True,False
FINCABLES.NS,0.83,0.3,0.83,0.45,0.39,0.58,0.71,0.7,119.82,16.04,0.1937,0.1639,0.12,False,True,True,True,False,False
IGL.NS,0.96,0.22,0.96,0.25,0.32,0.23,0.56,0.57,119.86,14.24,0.1521,0.0264,0.11,False,False,True,False,False,False
TEXRAIL.NS,0.77,0.47,0.77,0.21,0.51,0.85,0.53,0.69,119.87,17.08,0.2319,0.249,0.14,False,True,True,True,False,False
NITINSPIN.NS,0.89,0.47,0.89,0.19,0.51,0.51,0.5,0.57,119.96,16.79,0.1663,0.166,0.1,False,True,True,True,False,False
ARENTERP.NS,0.65,0.55,0.65,0.09,0.56,0.45,0.41,0.53,120.01,13.58,0.1749,0.1232,0.13,False,True,True,True,False,False
MTEDUCARE.NS,0.74,0.02,0.92,0.09,0.17,0.08,0.41,0.3,120.04,11.83,0.0287,-0.1269,0.02,False,False,False,False,True,False
ONEPOINT.NS,0.95,1.53,0.95,0.37,0.87,0.86,0.66,0.54,120.16,25.99,0.2983,0.336,0.11,False,True,True,True,True,False
RCF.NS,0.79,0.55,0.79,0.38,0.56,0.65,0.68,0.68,120.2,15.88,0.2025,0.1447,0.13,False,True,True,True,False,False
GOODLUCK.NS,0.98,1.12,0.98,0.41,0.79,0.72,0.7,0.36,120.28,27.3,0.1713,0.2743,0.06,False,False,False,True,True,False
RUPA.NS,0.91,0.21,0.91,0.18,0.31,0.21,0.5,0.5,120.28,15.41,0.099,0.0342,0.06,False,False,True,False,False,False
ZYDUSLIFE.NS,0.84,0.74,0.84,0.25,0.65,0.71,0.57,0.69,120.31,20.32,0.2558,0.1245,0.13,False,True,True,True,False,False
BIRLAMONEY.NS,0.83,1.26,0.83,0.61,0.82,0.86,0.79,0.8,120.34,19.67,0.1628,0.1566,0.08,True,True,True,True,False,False
SIEMENS.NS,0.83,0.72,0.83,0.5,0.64,0.7,0.74,0.8,120.5,20.38,0.2799,0.1706,0.14,False,True,True,True,False,False
ARVSMART.NS,0.92,1.08,0.92,0.33,0.78,0.73,0.64,0.64,120.55,24.91,0.3208,0.2236,0.13,False,True,True,True,True,False
HDFCLIFE.NS,0.98,0.18,0.98,0.24,0.28,0.17,0.56,0.56,120.57,14.72,0.0934,0.0236,0.06,False,False,False,False,True,False
GULFPETRO.NS,1.0,1.04,1.0,0.46,0.77,0.64,0.72,0.42,120.61,28.17,0.2485,0.0879,0.09,False,True,True,True,True,False
ZENITHEXPO.NS,0.61,1.7,0.61,0.77,0.89,0.87,0.84,0.82,120.66,28.45,0.3309,0.2052,0.12,False,True,True,True,True,False
ALKEM.NS,1.0,0.69,1.0,0.31,0.63,0.49,0.63,0.51,120.67,22.89,0.1926,0.0975,0.08,False,True,True,True,True,False
DVL.NS,0.78,0.65,0.9,0.17,0.61,0.51,0.48,0.39,120.7,17.25,0.1368,0.1502,0.08,False,False,False,True,False,False
GPPL.NS,0.9,0.88,0.9,0.06,0.71,0.68,0.38,0.58,120.75,20.55,0.2371,0.1405,0.12,False,True,True,True,False,False
KEI.NS,0.88,0.67,0.88,0.44,0.62,0.68,0.71,0.74,120.77,19.5,0.2385,0.2287,0.12,False,True,True,True,False,False
ICIL.NS,0.95,0.69,0.95,0.32,0.63,0.67,0.63,0.72,120.81,21.83,0.1768,0.1661,0.08,False,True,True,True,True,False
TOKYOPLAST.NS,0.81,0.37,0.81,0.21,0.45,0.31,0.52,0.49,120.95,13.63,0.1129,0.0706,0.08,False,False,False,True,False,False
